id,director,actors,return
17015,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood",0.0
902,"Jean-Pierre Jeunet, Marc Caro","Ron Perlman, Dominique Pinon, Judith Vittet",0.1
37557,Zhang Yimou,"Gong Li, Li Bao-Tian, Wang Xiaoxiao",0.0
9909,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance",0.0
63,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt",5.72
78802,Jean-Jacques Annaud,"Craig Sheffer, Elizabeth McGovern, Tom Hulce",0.0
9598,Chris Noonan,"Christine Cavanaugh, Miriam Margolyes, Danny Mann",8.47
47018,Christopher Hampton,"Emma Thompson, Jonathan Pryce, Steven Waddington",0.0
687,Tim Robbins,"Susan Sarandon, Sean Penn, Robert Prosky",3.58
139405,Stephen Low,"Peter Reznick, John McDonough, Avi Hoffman",0.0
33689,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Ashley Olsen",0.0
9603,Amy Heckerling,"Alicia Silverstone, Stacey Dash, Brittany Murphy",0.0
34615,Darrell James Roodt,"James Earl Jones, Charles S. Dutton, Jack Robinson",0.0
31174,Richard Loncraine,"Ian McKellen, Annette Bening, Jim Broadbent",0.0
11443,"Albert Hughes, Allen Hughes","Larenz Tate, Keith David, Chris Tucker",0.0
35196,Michael Hoffman,"Robert Downey Jr., Meg Ryan, Sam Neill",0.0
9312,Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby",6.79
577,Gus Van Sant,"Nicole Kidman, Matt Dillon, Joaquin Phoenix",1.06
11861,Jocelyn Moorhouse,"Winona Ryder, Anne Bancroft, Ellen Burstyn",2.36
807,David Fincher,"Brad Pitt, Morgan Freeman, Gwyneth Paltrow",9.92
10530,"Mike Gabriel, Eric Goldberg","Irene Bedard, Mel Gibson, David Ogden Stiers",6.29
8391,Patricia Rozema,"Pascale Bussières, Rachael Crawford, Henry Czerny",0.0
629,Bryan Singer,"Stephen Baldwin, Gabriel Byrne, Chazz Palminteri",3.89
117164,Richard W. Munchkin,"Cynthia Rothrock, Marshall R. Teague, Daniel McVicar",0.0
11448,Woody Allen,"Woody Allen, Mira Sorvino, Helena Bonham Carter",0.45
49133,Gianni Amelio,"Enrico Lo Verso, Michele Placido, Piro Milkani",0.0
26441,Holly Goldberg Sloan,"Steve Guttenberg, Olivia d'Abo, Jay O. Sanders",0.0
97406,Ulu Grosbard,"Jennifer Jason Leigh, Mare Winningham, Ted Levine",0.0
124057,Robert Tinnell,"Johnny Morina, Malcolm McDowell, Maggie Castle",0.0
9089,Jodie Foster,"Holly Hunter, Robert Downey Jr., Anne Bancroft",0.0
11010,Michael Radford,"Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta",0.0
99040,Robert Lepage,"Lothaire Bluteau, Patrick Goyette, Jean-Louis Millette",0.0
11359,Frank Oz,"Hal Scardino, Litefoot, Lindsay Crouse",0.0
17182,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris",0.0
2054,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas",0.0
10607,Paris Barclay,"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones",0.0
19760,Bill Bennett,"Sandra Bullock, Denis Leary, Yaphet Kotto",0.0
9536,Jason Bloom,"Pauly Shore, Stephen Baldwin, Joey Lauren Adams",0.0
11525,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien",0.0
40628,James Foley,"Jerry Barone, Al Pacino, Mary Elizabeth Mastrantonio",0.0
4482,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat",0.0
10634,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long",8.06
755,Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel",1.36
11859,Andrew Sipes,"William Baldwin, Cindy Crawford, Steven Berkoff",0.23
28387,Noah Baumbach,"Josh Hamilton, Olivia d'Abo, Carlos Jacott",0.0
48750,Claude Lelouch,"Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines",0.0
20927,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon",0.0
36929,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips",0.14
9102,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin",0.29
124626,Susanne Ofteringer,"Nico, Tina Aumont, Jackson Browne",0.0
27526,Sean Penn,"Jack Nicholson, David Morse, Anjelica Huston",0.0
9623,Brian Gibson,"Demi Moore, Alec Baldwin, Joseph Gordon-Levitt",0.0
46785,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy",0.0
400,Gary Fleder,"Andy García, Christopher Lloyd, William Forsythe",0.07
880,Marleen Gorris,"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen",0.0
146599,Tim Reid,"Al Freeman, Jr., Phylicia Rashād, Paula Kelly",0.0
188588,Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz",0.0
8447,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit",0.0
10534,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage",0.27
17414,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd",0.0
13997,Penelope Spheeris,"Chris Farley, David Spade, Grant Heslov",0.0
2086,John Badham,"Johnny Depp, Courtney Chase, Charles S. Dutton",1.0
61548,John Duigan,"Jason Patric, Thandie Newton, Larry Drake",0.0
9095,Stephen Frears,"Julia Roberts, John Malkovich, George Cole",0.26
12158,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne",1.41
9283,Ted Demme,"Matt Dillon, Noah Emmerich, Annabeth Gish",0.0
9208,John Woo,"John Travolta, Christian Slater, Samantha Mathis",3.01
40154,Kenneth Branagh,"Richard Briers, Joan Collins, Michael Maloney",0.0
406,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",0.0
45549,Paul W.S. Anderson,"Sadie Frost, Jude Law, Sean Pertwee",0.0
63076,Nick Broomfield,"Nick Broomfield, Heidi Fleiss, Madam Alex",0.0
11062,Harold Becker,"Al Pacino, John Cusack, Bridget Fonda",0.0
13685,Wes Anderson,"Luke Wilson, Owen Wilson, Lumi Cavazos",0.08
47475,Nick Castle,"Ellen DeGeneres, Bill Pullman, Joan Cusack",0.0
2045,John Dahl,"Ray Liotta, Linda Fiorentino, Peter Coyote",0.0
9614,Dennis Dugan,"Adam Sandler, Ben Stiller, Christopher McDonald",3.43
688,Clint Eastwood,"Meryl Streep, Clint Eastwood, Annie Corley",7.58
11907,Doris Dörrie,"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au",0.0
10874,Brian Henson,"Tim Curry, Kevin Bishop, Jennifer Saunders",0.0
89333,Robert Leacock,"Christy Turlington, Azzedine Alaïa, Giorgio Armani",0.0
96357,James Bruce,"Raymond J. Barry, Rustam Branaman, Jennifer MacDonald",0.0
197,Mel Gibson,"Mel Gibson, Catherine McCormack, Sophie Marceau",2.92
103,Martin Scorsese,"Robert De Niro, Cybill Shepherd, Harvey Keitel",21.74
33542,Stanley Tong,"Jackie Chan, Anita Mui, Françoise Yip",4.32
43566,Barbet Schroeder,"Meryl Streep, Liam Neeson, Edward Furlong",0.0
71754,Mort Ransen,"Helena Bonham Carter, Clive Russell, Craig Olejnik",0.0
43612,Étienne Chatiliez,"Michel Serrault, Eddy Mitchell, Sabine Azéma",0.0
51352,Jon Blair,"Kenneth Branagh, Glenn Close",0.0
16934,Benjamin Ross,"Tobias Arnold, Ruth Sheen, Roger Lloyd Pack",0.0
10324,Eric Schaeffer,"Sarah Jessica Parker, Elle Macpherson, Scarlett Johansson",0.0
78406,Andrew Davis,"Andy García, Alan Arkin, Rachel Ticotin",0.25
55731,Charles T. Kanganis,"Halle Berry, Jim Belushi, Casey Affleck",0.0
32119,John N. Smith,"Henry Czerny, Johnny Morina, Brian Dooley",0.0
11066,Reginald Hudlin,"Eddie Murphy, Robin Givens, Halle Berry",1.75
11104,Wong Kar-wai,"Brigitte Lin, Tony Leung Chiu-Wai, Faye Wong",0.0
37975,Giuseppe Tornatore,"Sergio Castellitto, Tiziana Lodato, Franco Scaldati",0.0
2074,David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni",2.1
27793,Peter MacDonald,"Jason James Richter, Melody Kay, Kevin McNulty",0.0
44284,Moufida Tlatli,"Amel Hedhili, Najia Ouerghi, Fatima Ben Saïdane",0.0
290157,Michel Negroponte,Maggie Cogan,0.0
110972,Bryan Gordon,"Josh Charles, Anne Heche, John Goodman",0.0
32622,Rebecca Miller,"Miranda Rhyne, Charlotte Eve Blythe, Anna Levine",0.0
73067,Michael Lindsay-Hogg,"Matt Dillon, Corban Walker, Gabriel Byrne",0.0
11863,William Friedkin,"David Caruso, Linda Fiorentino, Chazz Palminteri",0.2
55475,Ángel Muñiz,"Luisito Marti, Alfonso Zayas, Caridad Ravelo",0.0
124636,Craig Baldwin,"Lloyd Dunn, Chris Grigg, Mark Hosler",0.0
9101,David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider",0.0
123360,Mark Rappaport,"Jean Seberg, Mary Beth Hurt",0.0
5757,Dirk Shafer,"Dirk Shafer, Mary Stein, Claudette Sutherland",0.0
39428,Terence Davies,"Jacob Tierney, Drake Bell, Gena Rowlands",0.0
124639,Sandip Ray,,0.0
9302,Jon Avnet,"Robert Redford, Michelle Pfeiffer, Stockard Channing",0.0
11000,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane",5.98
249882,Jakov Sedlar,"Martin Sheen, Michael York, Morgan Fairchild",0.0
16388,Edward Burns,"Shari Albert, Maxine Bahns, Catharine Bolz",0.0
9737,Michael Bay,"Will Smith, Martin Lawrence, Téa Leoni",7.44
30765,Christopher Cain,"Stephen Lang, Ryan Slater, Yi Ding",0.0
10474,Scott Kalvert,"Leonardo DiCaprio, Lorraine Bracco, James Madio",0.0
22279,Mike Newell,"Alan Rickman, Hugh Grant, Georgina Cates",0.21
30157,Hal Hartley,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",0.0
568,Ron Howard,"Tom Hanks, Bill Paxton, Kevin Bacon",6.83
11780,Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt",1.13
34996,Abel Ferrara,"Lili Taylor, Christopher Walken, Annabella Sciorra",0.0
414,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey",3.37
649,Luis Buñuel,"Catherine Deneuve, Michel Piccoli, Jean Sorel",0.0
1873,John Boorman,"Patricia Arquette, Frances McDormand, U Aung Ko",0.0
5894,"Paul Auster, Wayne Wang","Harvey Keitel, Lou Reed, Michael J. Fox",0.64
1775,Michael Moore,"John Candy, Alan Alda, Rhea Perlman",0.02
8839,Brad Silberling,"Christina Ricci, Bill Pullman, Cathy Moriarty",5.76
20649,Spike Lee,"Harvey Keitel, John Turturro, Delroy Lindo",0.52
10329,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson",3.04
8963,Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven",2.97
26564,Terry Zwigoff,"Robert Crumb, Aline Kominsky, Charles Crumb",0.0
8068,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",3.63
8512,Carl Franklin,"Denzel Washington, Tom Sizemore, Jennifer Beals",0.6
1572,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson",4.07
13552,Gregg Araki,"Rose McGowan, James Duval, Johnathon Schaech",0.0
259209,Christopher Menaul,"Embeth Davidtz, Tom Bell, Gemma Jones",0.0
6520,Jerry Zucker,"Sean Connery, Richard Gere, Julia Ormond",2.32
9073,Dwight H. Little,"Jason James Richter, Michael Madsen, Jayne Atkinson",0.0
10428,Iain Softley,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford",0.38
17447,Christopher Ashley,"Steven Weber, Patrick Stewart, Michael T. Weiss",0.0
9886,Robert Longo,"Keanu Reeves, Dina Meyer, Takeshi Kitano",0.76
9482,Danny Cannon,"Sylvester Stallone, Diane Lane, Armand Assante",1.26
19326,John Fortenberry,"Pauly Shore, Tia Carrere, Stanley Tucci",0.0
9344,Larry Clark,"Leo Fitzpatrick, Rosario Dawson, Chloë Sevigny",4.94
9071,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney",2.3
8973,Clive Barker,"Scott Bakula, Kevin J. O'Connor, Famke Janssen",0.0
15730,Denys Arcand,"Thomas Gibson, Ruth Marshall, Cameron Bancroft",0.0
47608,Antonia Bird,"Chris O'Donnell, Drew Barrymore, Matthew Lillard",0.0
2293,Kevin Smith,"Jason Lee, Jeremy London, Shannen Doherty",0.35
9070,Bryan Spicer,"Amy Jo Johnson, Jason David Frank, David Yost",4.4
68274,David Anspaugh,"Elizabeth Perkins, Gwyneth Paltrow, Kathleen Turner",0.0
48787,Anthony Waller,"Marina Zudina, Fay Ripley, Evan Richards",0.5
34574,Michael Almereyda,"Elina Löwensohn, Peter Fonda, David Lynch",0.0
1642,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller",5.03
11472,Chris Columbus,"Hugh Grant, Julianne Moore, Tom Arnold",0.0
36196,Daisy von Scherler Mayer,"Parker Posey, Liev Schreiber, Anthony DeSando",3.15
11980,Gregory Widen,"Christopher Walken, Elias Koteas, Virginia Madsen",2.0
58372,Norman René,"Mia Farrow, Tony Goldwyn, Scott Glenn",0.0
32646,Todd Haynes,"Julianne Moore, Xander Berkeley, Dean Norris",0.0
10533,Roland Joffé,"Demi Moore, Gary Oldman, Robert Duvall",0.21
56088,,"Kurtis Blow, Sean Combs, Snoop Dogg",0.0
10802,Paul Verhoeven,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon",0.45
10149,"Wayne Wang, Paul Auster","Harvey Keitel, William Hurt, Giancarlo Esposito",1.19
18402,Lasse Hallström,"Julia Roberts, Dennis Quaid, Robert Duvall",0.0
9348,Roger Donaldson,"Natasha Henstridge, Ben Kingsley, Michael Madsen",3.24
139408,James Keach,"Robert Duvall, Aidan Quinn, Frances Fisher",0.0
281,Kathryn Bigelow,"Ralph Fiennes, Angela Bassett, Tom Sizemore",0.19
5967,Jacques Demy,"Catherine Deneuve, Nino Castelnuovo, Anne Vernon",0.0
79593,Wesley Strick,"Daryl Hannah, Keith Carradine, Moira Kelly",0.41
47939,Martha Coolidge,"Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello",0.0
36834,Agnieszka Holland,"Leonardo DiCaprio, David Thewlis, Romane Bohringer",0.0
9090,Beeban Kidron,"Patrick Swayze, Wesley Snipes, John Leguizamo",0.0
3512,Geoff Murphy,"Steven Seagal, Eric Bogosian, Everett McGill",1.74
52856,Diane Keaton,"Andie MacDowell, John Turturro, Michael Richards",0.0
77350,Douglas Keeve,"Sandra Bernhard, Isaac Mizrahi, Naomi Campbell",0.0
9560,Alfonso Aráu,"Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn",2.5
9804,Kevin Reynolds,"Kevin Costner, Chaim Girafi, Rick Aviles",1.51
31611,Desmond Nakano,"John Travolta, Harry Belafonte, Kelly Lynch",0.0
65796,Walter Hill,"Jeff Bridges, Ellen Barkin, John Hurt",0.0
49805,Mike Figgis,"Albert Finney, Greta Scacchi, Matthew Modine",0.0
26258,Greg Beeman,"Daniel Stern, Jon Polito, Brad Sullivan",0.0
50797,Nikita Mikhalkov,"Nikita Mikhalkov, Oleg Menshikov, Ingeborga Dapkunaite",0.93
19155,Milčo Mančevski,"Katrin Cartlidge, Rade Serbedzija, Grégoire Colin",0.0
76,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert",2.21
11017,Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson",2.65
37141,Guy Ferland,"Alicia Silverstone, Jeremy London, J.T. Walsh",0.0
9382,Herbert Ross,"Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore",1.12
6715,Peter Horton,"Brad Renfro, Joseph Mazzello, Annabella Sciorra",0.0
18256,Stuart Gordon,"Jeffrey Combs, Barbara Crampton, Jonathan Fuller",0.0
22625,Pat O'Connor,"Chris O'Donnell, Minnie Driver, Geraldine O'Rawe",0.0
2292,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Jason Mewes",116.71
1909,Jeremy Leven,"Johnny Depp, Marlon Brando, Faye Dunaway",0.89
8984,Barry Levinson,"Michael Douglas, Demi Moore, Donald Sutherland",3.89
61813,René Bonnière,"Patsy Kensit, Bruce Greenwood, Andrew McCarthy",0.0
4954,John Badham,"Wesley Snipes, Gary Busey, Yancy Butler",0.0
62488,Jack Baran,"Dylan McDermott, Nancy Travis, James Le Gros",0.0
10531,Roman Polanski,"Sigourney Weaver, Ben Kingsley, Stuart Wilson",0.0
11929,Taylor Hackford,"Kathy Bates, Jennifer Jason Leigh, Judy Parfitt",0.0
8467,"Peter Farrelly, Bobby Farrelly","Jim Carrey, Jeff Daniels, Lauren Holly",15.45
10451,Ang Lee,"Sihung Lung, Yu-Wen Wang, Jacklyn Wu ",0.0
20156,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Elias Koteas",0.0
18395,Garry Marshall,"Dana Delany, Paul Mercurio, Rosie O'Donnell",0.0
522,Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker",0.33
397,Lawrence Kasdan,"Meg Ryan, Kevin Kline, Timothy Hutton",0.0
10525,Billy Crystal,"Billy Crystal, Debra Winger, Joe Mantegna",0.0
27985,Phillip Borsos,"Mimi Rogers, Jesse Bradford, Bruce Davison",0.0
15789,"Kevin Lima, Paul Brizzi","Bill Farmer, Jason Marsden, Rob Paulsen",0.0
27303,Brett Leonard,"Jeff Goldblum, Christine Lahti, Alicia Silverstone",0.81
21183,Carlo Carlei,"Samuel L. Jackson, Matthew Modine, Nancy Travis",0.0
10954,Gérard Corbiau,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein",0.0
47867,Mark Lewis,"Ted Manson, Afemo Omilami",0.0
43475,Art Clokey,,0.0
72031,Charles Burnett,"Ice Cube, Lori Petty, Erich Anderson",0.0
14275,Steve James,"William Gates, Arthur Agee, Steve James",11.19
1024,Peter Jackson,"Melanie Lynskey, Kate Winslet, Sarah Peirse",0.61
17207,Randall Miller,"Sinbad, Phil Hartman, Jeffrey Jones",2.51
13701,Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini",0.0
14819,Steven Brill,"Ben Stiller, Aaron Schwartz, Kenan Thompson",0.0
32631,J. F. Lawton,"Christopher Lambert, John Lone, Joan Chen",0.0
11777,Fred Schepisi,"Tim Robbins, Meg Ryan, Walter Matthau",0.0
628,Neil Jordan,"Brad Pitt, Tom Cruise, Kirsten Dunst",3.73
87729,James Ivory,"Nick Nolte, Greta Scacchi, Thandie Newton",0.18
18713,James Melkonian,"John G. Brennan, Kamal Ahmed, Alan Arkin",0.0
6280,Ivan Reitman,"Arnold Schwarzenegger, Danny DeVito, Emma Thompson",0.62
9061,Arne Glimcher,"Sean Connery, Laurence Fishburne, Blair Underwood",0.0
37108,Michael Gottlieb,"Thomas Ian Nicholas, Joss Ackland, Art Malik",0.0
6071,Barbet Schroeder,"David Caruso, Samuel L. Jackson, Nicolas Cage",0.0
11,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",70.49
9587,Gillian Armstrong,"Winona Ryder, Gabriel Byrne, Trini Alvarado",0.0
19101,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham",0.0
49980,Ken Loach,"Crissy Rock, Vladimir Vega, Sandie Lavelle",0.0
17961,Claude Chabrol,"Emmanuelle Béart, François Cluzet, Nathalie Cardone",0.0
18183,Alfonso Aráu,"Marco Leonardi, Lumi Cavazos, Regina Torné",10.83
4476,Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn",5.35
11008,Nick Castle,"Damon Wayans, Orlando Brown, Michael Ironside",0.0
47504,James Gray,"Edward Furlong, Tim Roth, Moira Kelly",0.0
32325,Allison Anders,"Angel Aviles, Seidy López, Jacob Vargas",0.0
43742,Glenn Gordon Caron,"Warren Beatty, Annette Bening, Katharine Hepburn",0.0
28313,Stephen Gyllenhaal,"Jessica Lange, Halle Berry, David Strathairn",0.45
11318,Nicholas Hytner,"Nigel Hawthorne, Helen Mirren, Ian Holm",0.0
3036,Kenneth Branagh,"Robert De Niro, Kenneth Branagh, Tom Hulce",2.49
40490,James Orr,"Farrah Fawcett, Chevy Chase, Jonathan Taylor Thomas",0.0
24070,Nora Ephron,"Steve Martin, Madeline Kahn, Robert Klein",0.0
8986,Richard Benjamin,"Melanie Griffith, Ed Harris, Michael Patrick Carter",0.0
10510,Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott",0.0
17402,David Frankel,"Sarah Jessica Parker, Antonio Banderas, Mia Farrow",0.83
38722,Gregory Nava,"Edward James Olmos, Jimmy Smits, Esai Morales",0.0
8438,Marc Rocco,"Christian Slater, Kevin Bacon, Gary Oldman",0.0
11593,Robert Benton,"Paul Newman, Bruce Willis, Melanie Griffith",0.0
1945,Michael Apted,"Jodie Foster, Liam Neeson, Natasha Richardson",3.44
39310,Nick Gomez,"Sharron Corley, Donald Faison, Christine Baranski",0.0
109560,Tōru Murakawa,"Toru Nakamura, Chad McQueen, Mira Sorvino",0.0
56428,Vadim Jean,"Elizabeth Hurley, Craig Fairbrass, Keith Allen",0.0
63105,Albert Pyun,"Sue Price, Chad Stahelski, Tina Cote",0.0
131957,Alan Jacobs,"Laura San Giacomo, Michael O'Keefe, Paul Rhys",0.0
241,Oliver Stone,"Woody Harrelson, Juliette Lewis, Robert Downey Jr.",1.48
9058,Norman Jewison,"Marisa Tomei, Robert Downey Jr., Bonnie Hunt",0.0
527,Lee Tamahori,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell",0.0
18220,Anne Goursaud,"Alyssa Milano, Johnathon Schaech, Xander Berkeley",0.0
6950,Wolfgang Petersen,"Dustin Hoffman, Rene Russo, Morgan Freeman",3.8
101,Luc Besson,"Jean Reno, Natalie Portman, Gary Oldman",2.83
63020,Mira Nair,"Marisa Tomei, Alfred Molina, Anjelica Huston",0.26
2307,Joshua Brand,"William Baldwin, John Leguizamo, Эрика Элениак",0.0
680,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman",26.74
41478,Mario Van Peebles,"Kadeem Hardison, Bokeem Woodbine, Courtney B. Vance",0.0
25296,Ang Lee,"Sihung Lung, Wang Lai, Bo Z. Wang",0.38
40156,Antonia Bird,"Linus Roache, Tom Wilkinson, Robert Carlyle",0.0
11450,Robert Redford,"John Turturro, Rob Morrow, Ralph Fiennes",0.0
30304,Kayo Hatta,"Youki Kudoh, Akira Takayama, Tamlyn Tomita",0.0
10452,Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade",0.0
12106,Sam Raimi,"Sharon Stone, Gene Hackman, Russell Crowe",0.58
161495,Peter Yates,"Peter Falk, D. B. Sweeney, Julianne Moore",0.56
3586,Robert Altman,"Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel",0.75
110,Krzysztof Kieślowski,"Irène Jacob, Jean-Louis Trintignant, Jean-Pierre Lorit",0.0
108,Krzysztof Kieślowski,"Juliette Binoche, Benoît Régent, Florence Pernel",0.0
109,Krzysztof Kieślowski,"Zbigniew Zamachowski, Julie Delpy, Janusz Gajos",0.0
159185,He Ping,"Ning Jing, Wu Gang",0.0
36357,Fred Gerber,"Leslie Nielsen, Christopher Lloyd, Matt McCoy",0.0
92769,George Mihalka,"Darlanne Fluegel, James Brolin, Martin Neufeld",0.0
28033,Harold Ramis,"Al Franken, Laura San Giacomo, Vincent D'Onofrio",0.0
22586,Richard Rich,"Michelle Nicastro, Jack Palance, Howard McGillin",0.28
14334,John Sayles,"Jeni Courtney, Eileen Colgan, Mick Lally",0.0
2636,Luis Llosa,"Sylvester Stallone, Sharon Stone, James Woods",3.79
2164,Roland Emmerich,"Kurt Russell, James Spader, Jaye Davidson",3.57
11395,John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson",8.63
278,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",1.13
9905,Danny Boyle,"Kerry Fox, Christopher Eccleston, Ewan McGregor",0.0
87078,"Scott McGehee, David Siegel","Dennis Haysbert, Michael Harris, Mel Harris",0.0
12527,"Tomás Gutiérrez Alea, Juan Carlos Tabío","Jorge Perugorría, Vladimir Cruz, Mirta Ibarra",0.0
20306,George Huang,"Kevin Spacey, Frank Whaley, Michelle Forbes",0.0
36614,"Kevin Dowling, Geoff Burton","Jack Thompson, John Polson, Deborah Kennedy",0.0
27993,Kelly Makin,"Matt Frewer, Valerie Mahaffey, Lawrence Dane",0.0
31439,Zhang Yimou,"Ge You, Gong Li, Niu Ben",0.0
9067,Rachel Talalay,"Lori Petty, Ice-T, Naomi Watts",0.16
9059,Ernest R. Dickerson,"Billy Zane, William Sadler, Jada Pinkett Smith",0.0
193,David Carson,"Patrick Stewart, Jonathan Frakes, Brent Spiner",3.16
25066,Rusty Cundieff,"Clarence Williams III, Corbin Bernsen, David Alan Grier",2.0
46797,Brian Gilbert,"Willem Dafoe, Miranda Richardson, Rosemary Harris",0.0
12122,John Carpenter,"Christopher Reeve, Kirstie Alley, Linda Kozlowski",0.0
11381,Peter Segal,"Chris Farley, David Spade, Brian Dennehy",0.0
