id,release_year,title,vote_average
15789,1995,A Goofy Movie,6.7
27303,1995,Hideaway,5.0
21183,1995,Fluke,6.6
10954,1994,Farinelli,5.9
47867,1995,Gordy,3.0
43475,1995,Gumby: The Movie,5.0
72031,1994,The Glass Shield,5.4
14275,1994,Hoop Dreams,7.7
1024,1994,Heavenly Creatures,6.9
17207,1995,Houseguest,6.0
13701,1994,Immortal Beloved,6.9
14819,1995,Heavyweights,6.0
32631,1995,The Hunted,6.0
11777,1994,I.Q.,5.9
628,1994,Interview with the Vampire,7.2
87729,1995,Jefferson in Paris,5.2
18713,1995,The Jerky Boys,4.8
6280,1994,Junior,4.7
9061,1995,Just Cause,6.0
37108,1995,A Kid in King Arthur's Court,4.3
6071,1995,Kiss of Death,5.7
11,1977,Star Wars,8.1
9587,1994,Little Women,7.0
19101,1995,A Little Princess,7.4
49980,1994,Ladybird Ladybird,7.4
17961,1994,L'Enfer,6.6
18183,1992,Like Water for Chocolate,6.6
4476,1994,Legends of the Fall,7.2
11008,1995,Major Payne,6.1
47504,1994,Little Odessa,6.4
32325,1994,Mi Vida Loca,5.7
43742,1994,Love Affair,4.3
28313,1995,Losing Isaiah,6.4
11318,1994,The Madness of King George,6.7
3036,1994,Mary Shelley's Frankenstein,6.1
40490,1995,Man of the House,5.1
24070,1994,Mixed Nuts,5.2
8986,1994,Milk Money,5.6
10510,1994,Miracle on 34th Street,6.4
17402,1995,Miami Rhapsody,5.6
38722,1995,My Family,7.0
8438,1995,Murder in the First,6.9
11593,1994,Nobody's Fool,7.0
1945,1994,Nell,6.1
39310,1995,New Jersey Drive,6.9
109560,1993,New York Cop,0.0
56428,1994,Beyond Bedlam,4.0
63105,1995,Nemesis 2 - Nebula,4.6
131957,1995,Nina Takes a Lover,7.4
241,1994,Natural Born Killers,6.9
9058,1994,Only You,6.4
527,1994,Once Were Warriors,7.6
18220,1996,Poison Ivy II: Lily,4.6
6950,1995,Outbreak,6.4
101,1994,Leon: The Professional,8.2
63020,1995,The Perez Family,6.6
2307,1995,A Pyromaniac's Love Story,7.0
680,1994,Pulp Fiction,8.3
41478,1995,Panther,6.4
25296,1992,Pushing Hands,6.1
40156,1994,Priest,6.4
11450,1994,Quiz Show,7.1
30304,1995,Picture Bride,7.4
10452,1994,Queen Margot,7.0
12106,1995,The Quick and the Dead,6.2
161495,1995,Roommates,6.4
3586,1994,Prêt-à-Porter,5.3
110,1994,Three Colors: Red,7.8
108,1993,Three Colors: Blue,7.7
109,1994,Three Colors: White,7.3
159185,1994,"Red Firecracker, Green Firecracker",7.0
36357,1995,Rent-a-Kid,5.1
92769,1995,Relative Fear,4.7
28033,1995,Stuart Saves His Family,5.0
22586,1994,The Swan Princess,6.5
14334,1994,The Secret of Roan Inish,6.1
2636,1994,The Specialist,5.5
2164,1994,Stargate,6.8
11395,1994,The Santa Clause,6.3
278,1994,The Shawshank Redemption,8.5
9905,1994,Shallow Grave,7.0
87078,1993,Suture,6.0
12527,1993,Strawberry and Chocolate,7.1
20306,1994,Swimming with Sharks,6.7
36614,1994,The Sum of Us,6.0
27993,1995,Senior Trip,5.7
31439,1994,To Live,7.7
9067,1995,Tank Girl,5.5
9059,1995,Tales from the Crypt: Demon Knight,6.7
193,1994,Star Trek: Generations,6.4
25066,1995,Tales from the Hood,5.4
46797,1994,Tom & Viv,5.8
12122,1995,Village of the Damned,5.6
11381,1995,Tommy Boy,6.8
32636,1994,Vanya on 42nd Street,6.1
36141,1995,The Underneath,5.6
95963,1995,The Walking Dead,6.6
1587,1993,What's Eating Gilbert Grape,7.5
9271,1995,Virtuosity,5.4
2064,1995,While You Were Sleeping,6.5
19855,1994,The War,6.3
60855,1994,Double Happiness,5.5
236,1994,Muriel's Wedding,6.9
48287,1995,The Baby-Sitters Club,5.3
3049,1994,Ace Ventura: Pet Detective,6.4
2759,1994,"The Adventures of Priscilla, Queen of the Desert",7.2
12635,1994,Backbeat,6.2
10497,1992,Bitter Moon,7.0
11382,1994,Bullets Over Broadway,7.0
9331,1994,Clear and Present Danger,6.4
10731,1994,The Client,6.4
10464,1994,"Corrina, Corrina",6.4
34152,1994,Crooklyn,6.7
9495,1994,The Crow,7.3
29973,1994,Cobb,6.1
888,1994,The Flintstones,5.0
13,1994,Forrest Gump,8.2
712,1994,Four Weddings and a Funeral,6.6
16295,1995,Higher Learning,6.4
48992,1994,I Like It Like That,6.3
10879,1994,I Love Trouble,5.3
10660,1994,It Could Happen to You,6.1
10714,1994,The Jungle Book,5.9
41647,1993,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3
8587,1994,The Lion King,8.0
1689,1993,Little Buddha,6.0
11596,1994,New Nightmare,6.4
854,1994,The Mask,6.6
9359,1994,Maverick,6.6
23333,1994,Mrs. Parker and the Vicious Circle,6.3
36593,1994,The Naked Gun 33⅓: The Final Insult,6.4
12280,1994,The Paper,6.1
2788,1994,Reality Bites,6.5
10427,1993,Red Rock West,6.4
11011,1994,Ri¢hie Ri¢h,5.4
49803,1994,Safe Passage,4.9
8987,1994,The River Wild,6.1
1637,1994,Speed,6.8
15128,1994,Speechless,5.5
8831,1994,Timecop,5.5
36955,1994,True Lies,6.8
10449,1994,When a Man Loves a Woman,6.0
10395,1994,Wolf,6.0
12160,1994,Wyatt Earp,6.5
40480,1995,Bad Company,4.9
52038,1994,A Man of No Importance,6.5
29444,1994,S.F.W.,6.1
26352,1994,A Low Down Dirty Shame,6.0
39953,1994,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0
41580,1994,Colonel Chabert,5.9
315,1965,"Faster, Pussycat! Kill! Kill!",6.5
22067,1994,Jason's Lyric,5.9
18242,1993,The Secret Adventures of Tom Thumb,7.1
11667,1994,Street Fighter,4.1
32502,1995,Coldblooded,6.7
267188,1997,Desert Winds,0.0
28732,1995,Fall Time,6.3
75555,1995,The Fear,3.4
42981,1995,Frank and Ollie,7.5
278939,1995,Girl in the Cadillac,10.0
291731,1995,Homage,0.0
226229,1995,Mirage,4.0
203119,1996,Open Season,0.0
172923,1995,Dos Crímenes,5.0
316098,1995,Brother Minister: The Assassination of Malcolm X,4.0
8011,1994,Highlander: The Final Dimension,4.5
171857,1995,Federal Hill,5.0
2654,1994,In the Mouth of Madness,7.1
18069,1994,8 Seconds,7.2
19092,1994,Above the Rim,6.7
2758,1993,Addams Family Values,6.5
38129,1994,Martin Lawrence: You So Crazy,4.5
10436,1993,The Age of Innocence,7.0
13595,1994,Airheads,5.8
46094,1994,The Air Up There,5.1
9409,1993,Another Stakeout,4.9
11853,1994,Bad Girls,4.6
16771,1994,Barcelona,6.6
46924,1994,Being Human,5.0
11041,1993,The Beverly Hillbillies,5.0
306,1994,Beverly Hills Cop III,5.5
14522,1994,Black Beauty,6.6
26203,1994,Blink,6.3
178,1994,Blown Away,6.0
19819,1994,Blue Chips,5.7
57834,1994,Blue Sky,6.1
4722,1993,Body Snatchers,5.8
18215,1993,Boxing Helena,4.5
1607,1993,A Bronx Tale,7.4
26391,1994,Cabin Boy,4.9
117553,1993,Calendar Girl,3.7
6075,1993,Carlito's Way,7.7
11310,1994,City Slickers II: The Legend of Curly's Gold,4.9
18658,1994,Clean Slate,5.7
9350,1993,Cliffhanger,6.1
9612,1993,Coneheads,4.8
2124,1994,Color of Night,5.4
26261,1994,Cops & Robbersons,5.0
19176,1994,The Cowboy Way,5.1
49299,1993,Dangerous Game,5.4
11566,1993,Dave,6.3
9571,1993,Dazed and Confused,7.4
9739,1993,Demolition Man,6.4
24257,1994,The Endless Summer 2,7.1
34444,1994,Even Cowgirls Get the Blues,4.2
26141,1993,Fatal Instinct,5.4
10997,1993,Farewell My Concubine,7.8
50463,1994,The Favor,3.3
10443,1993,Fearless,6.8
20239,1994,Fear of a Black Hat,5.8
16297,1994,With Honors,6.1
18551,1993,Flesh and Bone,6.2
25440,1994,Widows' Peak,4.3
9024,1993,For Love or Money,5.7
37233,1993,The Firm,6.6
1634,1993,Free Willy,6.0
13815,1994,Fresh,7.6
5503,1993,The Fugitive,7.2
35588,1993,Geronimo: An American Legend,5.9
2087,1994,The Getaway,5.4
41579,1994,Getting Even with Dad,4.5
18620,1994,Go Fish,3.9
41006,1994,A Good Man in Africa,5.2
4916,1993,Guilty as Sin,5.6
2019,1993,Hard Target,6.1
31642,1993,Heaven & Earth,6.4
9255,1993,Hot Shots! Part Deux,6.2
26271,1995,Live Nude Girls,4.7
10612,1995,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1
2259,1993,The House of the Spirits,6.7
16097,1994,House Party 3,4.6
11934,1994,The Hudsucker Proxy,7.1
106143,1994,I'll Do Anything,5.7
12475,1994,In the Army Now,4.7
9386,1993,In the Line of Fire,6.8
7984,1993,In the Name of the Father,7.6
59930,1994,The Inkwell,3.9
15765,1993,What's Love Got to Do with It,6.9
31643,1994,Jimmy Hollywood,4.6
6,1993,Judgment Night,6.4
329,1993,Jurassic Park,7.6
10909,1993,Kalifornia,6.5
507,1993,Killing Zoe,6.1
34024,1993,King of the Hill,6.4
29918,1994,Lassie,6.1
9593,1993,Last Action Hero,6.1
42580,1993,Life With Mikey,5.1
22317,1994,Lightning Jack,5.7
1413,1993,M. Butterfly,6.6
12121,1993,Made in America,5.3
2246,1993,Malice,5.9
10502,1993,The Man without a Face,6.2
10440,1993,Manhattan Murder Mystery,7.1
9516,1993,Menace II Society,7.2
2320,1996,Executive Decision,5.8
5879,1976,In the Realm of the Senses,6.5
83718,1994,What Happened Was...,7.0
11971,1993,Much Ado About Nothing,7.2
2625,1993,Mr. Jones,5.9
31911,1993,Mr. Wonderful,5.5
788,1993,Mrs. Doubtfire,7.0
21450,1993,Naked,7.5
11231,1994,The Next Karate Kid,4.8
41588,1994,The New Age,4.8
10447,1994,No Escape,6.1
31586,1994,North,4.8
9300,1992,Orlando,6.7
9559,1993,A Perfect World,7.2
9800,1993,Philadelphia,7.6
713,1993,The Piano,7.1
8291,1993,Poetic Justice,6.9
18133,1993,The Program,6.0
25557,1994,The Puppet Masters,5.6
22588,1994,Radioland Murders,5.8
10872,1994,The Ref,6.7
1245,1993,The Remains of the Day,7.5
11858,1994,Renaissance Man,5.9
7007,1993,Rising Sun,5.8
10467,1994,The Road to Wellville,5.5
5550,1993,RoboCop 3,4.2
8005,1993,Robin Hood: Men in Tights,6.4
2088,1993,Romeo Is Bleeding,5.7
10412,1992,Romper Stomper,6.6
47889,1993,Ruby in Paradise,5.6
14534,1993,Rudy,7.2
56583,1993,The Saint of Fort Washington,4.0
41878,1992,Savage Nights,6.2
424,1993,Schindler's List,8.3
35233,1994,The Scout,5.3
14291,1993,Searching for Bobby Fischer,7.3
103413,1994,Second Best,5.9
11236,1993,The Secret Garden,7.1
11592,1994,Serial Mom,6.4
8850,1994,The Shadow,5.4
10445,1993,Shadowlands,6.8
695,1993,Short Cuts,6.9
43535,1994,A Simple Twist of Fate,5.7
12519,1993,Sirens,5.2
23210,1993,Six Degrees of Separation,6.5
858,1993,Sleepless in Seattle,6.5
867,1993,Sliver,4.9
78,1982,Blade Runner,7.9
13203,1993,Son in Law,5.6
10442,1993,So I Married an Axe Murderer,6.1
11074,1993,Striking Distance,5.4
33367,1985,Harem,4.0
9607,1993,Super Mario Bros.,4.0
17585,1994,Surviving the Game,6.1
9057,1994,Terminal Velocity,5.0
20967,1993,Thirty Two Short Films About Glenn Gould,7.4
10635,1994,Threesome,6.3
9479,1993,The Nightmare Before Christmas,7.6
10057,1993,The Three Musketeers,6.2
11969,1993,Tombstone,7.4
41590,1994,Trial by Jury,5.5
319,1993,True Romance,7.5
26408,1993,The War Room,7.3
15139,1994,The Pagemaster,6.2
161158,1994,"Paris, France",6.0
218473,1994,"The Beans of Egypt, Maine",0.0
85247,1994,Killer,3.0
11446,1995,Welcome to the Dollhouse,6.9
51980,1993,Germinal,6.3
24405,1994,Chasers,4.7
11655,1993,Cronos,6.4
11800,1993,Naked in New York,4.0
8223,1993,Kika,6.8
14587,1994,Bhaji on the Beach,5.1
31504,1994,Little Big League,6.0
41653,1993,The Slingshot,6.2
53185,1993,Wide Eyed and Legless,0.0
95743,1994,Foreign Student,0.0
23637,1992,"Ciao, Professore!",7.2
17600,1994,Spanking the Monkey,5.3
10897,1994,The Little Rascals,6.3
349394,1993,À la mode,0.0
21352,1994,Andre,5.0
68806,1993,The Escort,5.0
37345,1994,Princess Caraboo,4.4
32562,1996,The Celluloid Closet,7.0
47507,1993,Café au Lait,6.8
25403,1993,Dear Diary,6.9
124304,1993,I Don't Want to Talk About It,6.0
9066,1995,The Brady Bunch Movie,5.9
771,1990,Home Alone,7.1
251,1990,Ghost,6.9
812,1992,Aladdin,7.4
280,1991,Terminator 2: Judgment Day,7.7
581,1990,Dances with Wolves,7.6
80350,1995,Tough and Deadly,6.3
268,1989,Batman,7.0
274,1991,The Silence of the Lambs,8.1
408,1937,Snow White and the Seven Dwarfs,6.9
10020,1991,Beauty and the Beast,7.5
10895,1940,Pinocchio,6.9
114,1990,Pretty Woman,7.0
41043,1993,Window to Paris,6.0
576,1969,The Wild Bunch,7.7
15477,1994,Love and a .45,5.5
59146,1994,The Wooden Man's Bride,6.5
124472,1994,A Great Day in Harlem,7.0
30528,1995,Bye Bye Love,6.1
7300,1996,One Fine Day,6.1
10824,1995,Candyman: Farewell to the Flesh,5.0
261246,1993,Century,5.0
275,1996,Fargo,7.7
25059,1996,Homeward Bound II: Lost in San Francisco,6.0
11827,1981,Heavy Metal,6.3
8766,1996,Hellraiser: Bloodline,4.9
23570,1996,The Pallbearer,4.6
47333,1996,Jane Eyre,7.1
54850,1996,Loaded,4.0
51242,1974,Bread and Chocolate,7.1
10112,1970,The Aristocats,7.1
4307,1995,The Flower of My Secret,6.9
46029,1996,Two Much,5.1
32308,1996,Ed,3.6
88893,1991,Scream of Stone,7.5
52873,1993,My Favorite Season,6.4
123505,1996,A Modern Affair,5.0
340210,1995,Condition Red,4.7
44281,1990,Halfaouine: Boy of the Terraces,7.4
28121,1996,A Thin Line Between Love and Hate,5.7
12520,1995,The Last Supper,6.5
1592,1996,Primal Fear,7.4
166901,1995,Rude,6.0
36447,1996,Carried Away,5.4
19042,1996,All Dogs Go to Heaven 2,5.0
38884,1995,Land and Freedom,7.0
47449,1995,Denise Calls Up,6.6
36259,1995,Theodore Rex,3.6
41852,1996,A Family Thing,5.6
40926,1996,Frisk,3.0
9099,1996,Sgt. Bilko,5.5
2021,1995,Jack & Sarah,5.1
61752,1996,Girl 6,5.7
10988,1996,Diabolique,5.4
11479,1994,"Little Indian, Big City",6.0
398959,1995,Roula,5.0
287305,1996,Peanuts – Die Bank zahlt alles,4.0
339428,1996,Happy Weekend,0.0
12652,1996,Nelly and Monsieur Arnaud,7.1
10684,1996,Courage Under Fire,6.2
954,1996,Mission: Impossible,6.7
68445,1995,Cold Fever,7.7
18989,1996,Moll Flanders,6.2
10801,1996,The Superwife,5.3
54285,1995,"301, 302",6.2
8840,1996,DragonHeart,6.4
278978,1996,Und keiner weint mir nach,0.0
124625,1995,My Mother's Courage,0.0
11107,1996,Eddie,5.4
16417,1993,Yankee Zulu,6.0
70934,1995,Billy's Holiday,0.0
10363,1960,Purple Noon,7.3
161070,1996,August,5.3
10539,1996,James and the Giant Peach,6.2
10543,1996,Fear,6.1
18414,1996,Kids in the Hall: Brain Candy,5.9
47502,1996,Faithful,4.8
11902,1995,Underground,7.5
27098,1995,All Things Fair,6.1
25087,1996,Bloodsport II,5.2
5801,1955,Pather Panchali,7.9
896,1959,The World of Apu,8.2
3065,1996,Mystery Science Theater 3000: The Movie,7.0
318177,1996,Tarantella,0.0
2300,1996,Space Jam,6.5
8069,1968,Barbarella,5.7
288173,1995,Hostile Intentions,8.0
187851,1996,They Bite,5.5
27768,1994,Some Folks Call It a Sling Blade,7.5
221917,1995,The Run of the Country,8.0
8072,1965,Alphaville,6.8
35797,1981,Coup de Torchon,6.8
88030,1994,Tigrero: A Film That Was Never Made,7.5
185191,1993,The Eye of Vichy,0.0
83857,1980,Windows,5.8
33245,1996,It's My Party,6.2
124460,1994,Country Life,8.0
27281,1995,Operation Dumbo Drop,4.7
105045,1995,The Promise,5.0
40001,1996,Mrs. Winterbourne,5.5
29621,1996,Solo,3.9
117730,1994,Under The Domim Tree,6.5
20762,1996,The Substitute,5.8
37144,1996,True Crime,5.1
48260,1995,Butterfly Kiss,7.4
12656,1996,Feeling Minnesota,5.5
38867,1995,Delta of Venus,3.3
277270,1991,To Cross the Rubicon,0.0
25969,1995,Angus,6.8
44103,1992,Priest Daens,6.7
753,1968,Faces,7.1
43634,1996,Boys,5.3
9103,1996,The Quest,5.3
90214,1996,Cosi,7.1
29649,1996,Sunset Park,5.1
10990,1996,Mulholland Falls,6.2
8866,1996,The Truth About Cats & Dogs,5.7
12233,1988,Oliver & Company,6.5
23449,1996,Celtic Pride,4.9
36355,1996,Flipper,5.3
37667,1994,Captives,6.0
90148,1994,Of Love and Shadows,4.4
922,1995,Dead Man,7.2
11876,1995,The Horseman on the Roof,6.7
52633,1975,Switchblade Sisters,6.6
62364,1995,Mouth to Mouth,5.5
11687,1993,The Visitors,7.1
9304,1996,Multiplicity,5.5
73183,1996,"The Haunted World of Edward D. Wood, Jr.",10.0
131232,2002,Two Friends,0.0
9100,1996,The Craft,6.3
20759,1996,The Great White Hype,5.1
46063,1996,Last Dance,5.6
32513,1995,Cold Comfort Farm,7.0
40651,1995,"Institute Benjamenta, or This Dream People Call Human Life",7.7
36915,1996,Heaven's Prisoners,5.0
40507,1996,Original Gangstas,5.5
9802,1996,The Rock,6.9
25697,1996,Getting Away with Murder,5.5
21588,1994,Cemetery Man,7.0
664,1996,Twister,6.1
11867,1996,Barb Wire,3.9
47119,1995,Le Garçu,5.0
314352,1996,Honeymoon,0.0
9323,1995,Ghost in the Shell,7.8
10280,1996,Thinner,5.5
10535,1996,Spy Hard,4.9
124613,1995,Brothers in Trouble,0.0
532,1995,A Close Shave,7.5
26744,1948,Force of Evil,6.6
16299,1996,The Stupids,4.2
10547,1996,The Arrival,6.1
245268,1943,The Man from Down Under,0.0
935,1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0
55613,1992,Careful,7.8
41007,1995,A Month by the Lake,7.2
35645,1995,Gold Diggers: The Secret of Bear Mountain,5.8
110465,1950,Kim,7.0
255546,1995,Carmen Miranda: Bananas Is My Business,10.0
40751,1994,Ashes of Time,7.1
275096,1994,The Jar,8.0
85778,1995,Maya Lin: A Strong Clear Vision,0.0
11101,1993,Stalingrad,7.4
9826,1996,The Phantom,4.7
9879,1996,Striptease,4.4
63564,1996,The Last of the High Kings,5.7
22621,1995,Heavy,7.7
7095,1996,Jack,5.9
26890,1996,I Shot Andy Warhol,6.1
46732,1995,The Grass Harp,6.1
124633,1995,Someone Else's America,0.0
202425,1987,Life is Rosy,6.5
196940,1992,Quartier Mozart,5.0
77771,1973,Touki Bouki,7.3
181083,1982,God's Gift,5.0
41225,1968,Spirits of the Dead,5.5
188589,1994,Babyfever,0.0
87190,1995,Pharaoh's  Army,6.3
627,1996,Trainspotting,7.8
32872,1997,Til There Was You,3.9
602,1996,Independence Day,6.7
14553,1996,Stealing Beauty,6.6
9566,1996,The Fan,5.7
