id,production_countries
1909,US
8984,US
61813,"US, CA"
4954,US
62488,US
10531,"US, FR, GB"
11929,US
8467,US
10451,"TW, US"
20156,CA
18395,US
522,US
397,"GB, US"
10525,US
27985,US
15789,US
27303,US
21183,US
10954,"BE, FR, IT"
47867,US
43475,
72031,"US, FR"
14275,US
1024,NZ
17207,
13701,US
14819,US
32631,US
11777,US
628,US
87729,US
18713,US
6280,US
9061,US
37108,
6071,US
11,US
9587,US
19101,US
49980,GB
17961,FR
18183,MX
4476,US
11008,US
47504,US
32325,US
43742,US
28313,US
11318,GB
3036,"GB, JP, US"
40490,
24070,US
8986,US
10510,US
17402,US
38722,US
8438,"FR, US"
11593,US
1945,US
39310,US
109560,"JP, US"
56428,GB
63105,US
131957,
241,US
9058,US
527,NZ
18220,US
6950,US
101,"FR, US"
63020,US
2307,US
680,US
41478,"GB, US"
25296,TW
40156,GB
11450,US
30304,"JP, US"
10452,"FR, DE, IT"
12106,"JP, US"
161495,US
3586,US
110,"FR, PL, CH"
108,"FR, PL"
109,"FR, PL"
159185,"CN, HK"
36357,US
92769,CA
28033,"DE, US"
22586,US
14334,"IE, US"
2636,"PE, US"
2164,"FR, US"
11395,US
278,US
9905,GB
87078,US
12527,"CU, ES"
20306,US
36614,AU
27993,"CA, US"
31439,"CN, HK"
9067,US
9059,US
193,US
25066,US
46797,"GB, US"
12122,US
11381,US
32636,US
36141,US
95963,US
1587,US
9271,US
2064,US
19855,US
60855,CA
236,"AU, FR"
48287,US
3049,US
2759,AU
12635,"DE, GB"
10497,"FR, GB, US"
11382,US
9331,US
10731,US
10464,US
34152,US
9495,US
29973,US
888,US
13,US
712,GB
16295,US
48992,US
10879,US
10660,US
10714,US
41647,"FR, GB, DE, BE"
8587,US
1689,"FR, IT, LI, GB"
11596,US
854,US
9359,US
23333,US
36593,US
12280,US
2788,US
10427,US
11011,US
49803,US
8987,US
1637,US
15128,US
8831,"JP, US"
36955,US
10449,US
10395,US
12160,US
40480,US
52038,"GB, IE"
29444,US
26352,US
39953,US
41580,FR
315,US
22067,US
18242,GB
11667,"JP, US"
32502,US
267188,
28732,US
75555,US
42981,US
278939,US
291731,US
226229,
203119,US
172923,
316098,
8011,"CA, FR, GB"
171857,
2654,US
18069,US
19092,US
2758,US
38129,US
10436,US
13595,US
46094,US
9409,US
11853,US
16771,US
46924,"JP, GB"
11041,US
306,US
14522,"GB, US"
26203,US
178,US
19819,US
57834,US
4722,US
18215,US
1607,US
26391,US
117553,US
6075,US
11310,US
18658,US
9350,"FR, IT, US"
9612,US
2124,US
26261,US
19176,US
49299,US
11566,US
9571,US
9739,US
24257,US
34444,US
26141,US
10997,"CN, HK"
50463,US
10443,US
20239,"GB, US"
16297,US
18551,US
25440,"IE, GB"
9024,US
37233,US
1634,"FR, US"
13815,"FR, US"
5503,US
35588,US
2087,"JP, US"
41579,US
18620,US
41006,"ZA, US"
4916,US
2019,US
31642,"FR, US"
9255,US
26271,US
10612,GB
2259,"DK, FR, DE, PT, US"
16097,
11934,"DE, GB, US"
106143,US
12475,US
9386,US
7984,"GB, IE"
59930,US
15765,US
31643,US
6,"JP, US"
329,US
10909,US
507,"FR, US"
34024,US
29918,US
9593,US
42580,US
22317,"AU, US"
1413,US
12121,"FR, US"
2246,US
10502,US
10440,US
9516,US
2320,US
5879,JP
83718,US
11971,"GB, US"
2625,US
31911,US
788,US
21450,GB
11231,US
41588,US
10447,US
31586,US
9300,"GB, FR, IT, NL, RU"
9559,US
9800,US
713,"NZ, AU, FR"
8291,US
18133,US
25557,US
22588,US
10872,US
1245,"GB, US"
11858,"CA, US"
7007,US
10467,US
5550,US
8005,"FR, US"
2088,"GB, US"
10412,AU
47889,US
14534,US
56583,US
41878,"FR, IT"
424,US
35233,US
14291,US
103413,"GB, US"
11236,US
11592,US
8850,US
10445,GB
695,US
43535,US
12519,"AU, GB"
23210,US
858,US
867,US
78,"US, HK, GB"
13203,US
10442,US
11074,US
33367,
9607,"GB, US"
17585,US
9057,US
20967,"FI, CA, NL, PT"
10635,US
9479,US
10057,"US, AT"
11969,US
41590,US
319,US
26408,US
15139,US
161158,CA
218473,
85247,"GB, US, CA"
11446,US
51980,"BE, FR, IT"
24405,US
11655,MX
11800,US
8223,"FR, ES"
14587,GB
31504,US
41653,"DK, SE"
53185,
95743,
23637,IT
17600,US
10897,US
349394,
21352,US
68806,IT
37345,
32562,US
47507,"FR, BE"
25403,"IT, FR"
124304,"IT, AR"
9066,US
771,US
251,US
812,US
280,"FR, US"
581,"GB, US"
80350,US
268,"GB, US"
274,US
408,US
10020,US
10895,US
114,US
41043,"FR, RU"
576,US
15477,US
59146,CN
124472,
30528,US
7300,US
10824,US
261246,GB
275,US
25059,"CA, US"
11827,CA
8766,US
23570,US
47333,US
54850,
51242,IT
10112,US
4307,ES
46029,"ES, US"
32308,US
88893,
52873,FR
123505,
340210,US
44281,"FR, IT, TN"
28121,US
12520,US
1592,US
166901,
36447,
19042,US
38884,"FR, DE, ES, GB, IT"
47449,US
36259,US
41852,US
40926,US
9099,US
2021,"FR, GB"
61752,US
10988,US
11479,FR
398959,DE
287305,DE
339428,DE
12652,"DE, FR, IT"
10684,US
954,US
68445,"IS, DK, DE, JP, US"
18989,US
10801,DE
54285,KR
8840,US
278978,DE
124625,"GB, DE, IE, AT"
11107,US
16417,ZA
70934,
10363,"FR, IT"
161070,"GB, US"
10539,US
10543,US
18414,"US, CA"
47502,US
11902,"RS, FR, DE, HU, CZ"
27098,"SE, DK"
25087,US
5801,IN
896,IN
3065,US
318177,
2300,US
8069,US
288173,US
187851,
27768,
221917,"IE, US"
8072,"IT, FR"
35797,FR
88030,
185191,
83857,US
33245,US
124460,
27281,US
105045,DE
40001,US
29621,"US, MX"
117730,
20762,US
37144,
48260,GB
12656,US
38867,US
277270,
25969,US
44103,BE
753,US
43634,US
9103,"CA, US"
90214,AU
29649,
10990,US
8866,US
12233,US
23449,US
36355,US
37667,"GB, US"
90148,"AR, US"
922,"DE, JP, US"
11876,FR
52633,US
62364,ES
11687,FR
9304,US
73183,US
131232,IT
9100,US
20759,US
46063,US
32513,GB
40651,"GB, DE, JP"
36915,"GB, US"
40507,US
9802,US
25697,"GB, US"
21588,"FR, DE, IT"
664,US
11867,US
47119,FR
314352,DE
9323,JP
10280,US
10535,US
124613,GB
532,GB
26744,US
16299,"GB, US"
10547,"MX, US"
245268,US
935,"GB, US"
55613,CA
41007,"GB, US"
35645,"CA, US"
110465,US
255546,"BR, GB"
40751,"TW, HK"
275096,
85778,US
11101,DE
9826,"AU, US"
9879,US
63564,
22621,US
7095,US
26890,"GB, US"
46732,US
124633,"RS, GR, GB, FR, DE"
202425,"BE, CD, FR"
196940,
77771,SN
181083,BF
41225,"FR, IT"
188589,
87190,US
627,GB
32872,US
602,US
14553,"FR, IT, GB"
9566,US
10545,US
9894,US
11543,US
9268,"CA, US"
52059,
9327,US
123763,AR
81949,"FR, RO"
42005,HU
124306,
183955,PH
44535,US
44495,US
78285,FR
11228,US
10779,"NZ, US"
26748,US
38223,US
9294,US
49963,"DE, GB, US"
11363,US
1645,US
31546,"GB, US"
77056,FR
36344,CA
18550,US
11511,US
172198,"HU, CH, FR"
34170,US
281085,"CA, US"
109478,
124645,GB
12606,US
69895,
35206,"MX, FR"
151489,
4837,FR
12632,"AT, DE, SE"
9098,DE
282919,DE
124614,
18975,"CZ, FR, DE, GB, US"
11962,US
2925,US
28628,"GB, US"
3595,US
9308,US
92381,US
18555,US
12123,US
10830,US
3573,US
10546,US
18862,US
31417,"FR, IT"
9431,US
124619,
297645,
48144,HK
46986,"DE, JP, US"
144982,US
47907,US
10061,US
36266,"VN, HK, FR"
549,US
10478,US
66634,"AU, FR"
116690,JP
213917,FR
145925,
100914,
238,US
159,DE
11134,HK
88224,US
132641,JP
42758,GB
9303,US
23945,US
37820,AU
22479,US
9054,US
241058,
11985,TW
10232,"CH, DE"
59569,US
410921,
38955,HK
110513,US
114089,
11015,"DE, JP, NZ, GB, US"
9306,US
12559,US
58770,US
124851,
3587,US
10723,US
56077,US
19004,US
101230,
253632,
10987,US
44705,"GB, IE, US"
20318,US
43596,DE
79782,
26933,FR
27854,US
981,US
872,US
2769,US
13320,US
164,US
426,US
567,US
3078,US
13528,US
28288,US
213,US
284,US
239,US
4808,US
289,US
963,US
11113,US
6620,US
804,US
26531,US
909,US
630,US
770,US
31044,US
599,US
15,US
62,"US, GB"
121357,US
705,US
22490,US
223,US
25670,US
303,US
4174,US
8356,US
381,US
20758,US
29376,US
1859,US
18299,US
17281,US
64382,US
10907,US
32093,US
1939,US
22292,US
3598,US
3080,US
198,US
13562,US
1712,US
220,US
3529,US
3085,US
2897,US
1585,US
3083,US
900,US
43795,US
85638,US
50001,US
43905,US
22688,US
23114,US
26378,US
40206,US
22356,US
260,GB
43488,US
22613,US
10331,US
488,"GB, US"
22733,"US, GB, IT"
261,US
57575,"US, FR"
32574,US
22657,US
76464,US
22649,US
176841,US
125587,"IE, GB"
39448,HK
52855,"US, ZA"
39940,US
172868,
85328,"US, FR"
124632,
11076,US
63945,"CA, US"
58985,US
890,"AT, DE"
10861,US
1770,"IE, GB"
44465,US
2033,US
18203,US
9333,US
47260,US
9400,US
9401,US
12241,US
25739,
161806,
11306,US
9625,US
10680,US
6346,US
18660,US
35115,US
14821,US
14136,US
10869,US
22660,US
19186,US
31102,US
6878,US
15944,US
18444,"TT, GB"
20723,US
173,US
864,US
24795,US
11224,US
81310,US
15947,US
9078,US
29682,US
8367,US
433,US
11360,US
11114,US
12335,US
12092,US
10948,US
11229,US
15121,US
562,US
10163,"GB, JP, US"
48862,"FR, US"
117036,
47199,GB
11159,"GB, FR"
9591,US
30500,US
41843,US
55058,US
10938,GB
11412,US
10586,"DE, US"
42314,US
27845,
108365,
23223,US
49471,US
38153,US
25147,GB
9716,US
43777,"US, DO"
454,US
10218,US
819,US
38191,US
56830,US
11238,US
27256,GB
31530,US
66473,US
28120,US
1834,US
26282,US
37218,CA
252,US
116356,BE
16372,GB
11561,US
11302,US
623,"GB, US"
583,GB
12614,"GB, US"
21711,US
11575,US
475,US
11331,US
521,US
21202,
88,US
500,US
792,"GB, US"
8491,US
402,"FR, US"
10537,US
11386,"JP, GB, IE"
9504,US
15764,"GB, US"
601,US
67365,US
25842,US
2119,US
744,US
136311,US
221,US
702,US
25750,US
17642,"NL, US"
427043,AT
146341,"US, BG"
9305,"FR, IT, CH"
37616,US
11112,US
21612,US
141210,
102461,FR
36998,"FR, BE, GB"
200383,US
116844,US
1630,US
26626,US
124837,
11816,US
11843,GB
10379,"GB, US"
2756,US
790,US
1103,US
11298,US
4480,FR
4481,FR
49688,"CL, MX"
10765,US
762,GB
44497,"CA, DE"
85588,
278621,US
99479,
55049,"PT, FR"
124829,
79306,
356054,
10548,US
531,GB
104931,FR
4483,FR
18919,"CZ, FR, GB"
31556,US
26167,US
26174,US
61461,IT
117500,FR
218713,
217802,
127973,US
659,"DE, HR, PL, FR"
30892,GB
86369,"FR, BE, NL"
8074,FR
124676,
38554,US
49763,US
41326,"GB, US"
36555,US
10608,"GB, US"
11216,"IT, FR"
7452,"GB, FR"
64567,FR
892,FR
1600,"FR, NO, PL"
26561,GB
975,US
18129,US
54405,
150823,US
409,"GB, US"
38251,IT
10161,"IE, GB"
1412,US
41768,US
10409,AU
14285,US
2469,ES
10174,US
31225,US
510,US
11455,US
1891,US
2493,US
85,US
68,GB
679,"GB, US"
429,"US, IT, ES, DE"
13446,GB
389,US
947,GB
185,"GB, US"
595,US
28,US
335,"IT, ES, US"
1892,US
144,"DE, FR"
1092,GB
769,US
348,"US, GB"
766,US
175,"FR, IT, US"
11645,"JP, FR"
10835,HK
539,US
525,US
240,US
600,"GB, US"
530,GB
10705,GB
279,US
3109,US
311,"US, IT"
1578,US
703,US
9549,US
1398,RU
387,DE
9277,US
343,US
37291,"GB, US"
490,SE
11235,GB
218,"GB, US"
763,NZ
9665,US
18971,"GB, US"
696,US
379,US
207,US
37247,US
1480,US
9322,"FR, IT"
826,"GB, US"
422,"IT, FR"
829,US
828,US
3090,US
9964,NZ
3063,US
13667,US
694,"US, GB"
235,US
832,DE
765,US
5925,US
11778,"GB, US"
4485,FR
137,US
33,US
982,US
8428,"CA, US"
212,US
105,US
1633,US
11202,US
1554,"DE, US"
149,JP
8009,"GB, US"
903,US
11673,FR
3034,US
339,"DE, FI, FR, GB, US"
10404,"CN, HK, TW"
914,US
756,US
288,US
910,US
2640,US
16633,US
665,US
11031,US
11314,US
15143,US
89,US
10322,US
783,"IN, GB"
10644,US
11257,GB
14370,US
12104,GB
625,GB
8816,SE
830,US
2323,US
983,"US, GB"
642,US
655,"DE, FR, GB, US"
10341,"AU, FR, DE, US"
639,US
266022,
168450,US
30180,US
31388,US
41801,"DE, US"
66034,US
348138,US
96288,"DE, GB, US"
61536,US
18762,GB
331367,
8077,"GB, US"
814,"GB, US"
41671,US
27214,US
52263,US
33519,US
16235,"IT, MX, US"
11449,US
41848,"CA, US"
25944,"IT, FR"
24913,"CA, US"
49126,US
32076,US
571,US
8851,US
37843,US
32146,US
30346,US
6114,US
229,US
13549,"IT, US"
9529,US
1598,US
11349,US
7340,US
6217,US
377,US
653,DE
28198,IT
794,"GB, US"
31640,"GB, US"
8744,US
25189,US
145,"DK, FR, IS, NL, NO, SE"
2212,US
199,US
7863,AU
12498,US
9279,US
53234,
17204,US
21539,US
85589,"SE, NO"
12709,FR
20539,US
11674,"GB, US"
199512,IT
64900,"FR, DE, CH"
1573,US
152,US
174,US
172,US
154,US
157,US
168,US
364,"GB, US"
11967,US
9086,US
621,US
9037,US
10173,US
55687,US
168535,US
8845,"FR, US"
46681,US
578,US
579,US
17692,US
17795,US
75,US
13891,US
9390,US
378,US
10896,US
2322,US
41240,
26949,US
9819,US
49799,US
31908,US
46027,US
3179,US
1802,"FR, DE"
4232,US
9361,US
2928,US
30285,US
10549,"GB, US"
58102,"GB, IE"
18451,
27265,US
49935,FR
8818,"US, HU"
36758,"GB, US"
36040,"AU, GB"
74239,"GB, US"
9415,US
55146,
303693,US
12145,"GB, US"
42424,US
34314,US
2892,AU
9404,"AU, HK, RU, US"
85242,
9622,US
8860,US
197537,
66597,US
14832,"FR, DE, GB"
9619,US
40506,US
31000,US
4104,US
26306,US
203829,"DE, CH"
43775,"ES, DE, CU"
14908,US
784,"FR, CZ, GB"
12489,US
168283,
16448,US
55936,"RU, KZ"
17894,US
28059,US
58911,AU
17949,US
1968,US
61563,US
66,US
20735,
11419,US
333165,
25796,US
638,US
25624,US
9366,US
60083,"FR, DZ, BE, LU"
21915,US
90928,US
50091,US
18420,US
19952,US
9446,US
28005,"GB, IN, US, JP, DE"
9403,US
27322,US
10003,US
9311,"DE, DK, SE"
11844,"IE, GB"
884,CA
49806,"CA, US"
1624,US
88423,
16052,US
4477,US
24662,US
18423,
76996,AU
6499,"JP, US"
50512,US
9405,US
12723,US
9360,"BR, PE, US"
9434,US
118991,
21626,CA
13982,"GB, US"
93946,
77223,"AU, US"
31465,US
12793,GB
102878,
105763,"RU, FR, GE, UA, BE"
9611,US
47694,"CN, HK"
10357,US
9977,AU
816,"DE, US"
2163,US
124680,NZ
16399,
124843,US
31017,US
24645,
49478,"CN, US"
12499,US
18,FR
68545,"CA, GB"
1811,"US, FR"
109614,US
60082,
105045,DE
53023,FR
64802,US
11239,JP
50850,US
15321,GB
2058,US
9450,"GB, US"
125021,
330,US
38523,FR
16375,US
33660,US
59232,US
45671,"GB, US, FR"
17770,US
15170,US
1701,US
201445,
26422,"FR, LU, GB"
124642,
1639,US
49235,
106129,US
291634,
107743,US
415,"GB, US"
47686,US
65889,"IT, US"
11103,US
11970,US
34941,US
407992,US
8874,US
17991,JP
11956,FR
266,"FR, IT"
754,US
37567,US
43771,"IR, FR"
124834,FR
249358,GB
111367,"CH, FR"
607,US
18080,US
38225,US
17834,US
686,US
65046,AU
4421,US
9387,US
10603,US
2142,US
8413,"GB, US"
10336,US
20737,"CA, US"
9413,US
14585,"CA, US"
18519,US
49462,"FR, GB"
8834,US
9458,US
8854,US
38295,"FR, US"
22073,US
37244,
4961,US
9416,US
26180,US
17832,US
9772,"DE, US"
6072,US
1669,US
468,US
32519,US
108401,
10806,US
9433,US
6623,US
2118,US
978,US
9437,US
29461,US
56651,US
10351,US
66588,US
2649,US
14289,US
10155,"FR, US"
75250,
20457,"IE, US"
18355,CA
33657,US
55306,US
68924,"FR, US"
36434,US
2255,US
28353,US
9427,GB
172545,GB
17589,"IE, GB, US"
3597,US
1813,"DE, US"
36797,US
12628,US
33344,
25099,US
45019,US
63437,US
62422,
782,US
29911,"GB, US"
9827,US
1959,GB
251481,
8067,"GB, US"
125052,US
45153,
10871,US
14398,US
10890,US
99002,FR
1281,"GB, US"
32332,US
9770,US
12616,US
34838,"AR, FR, DE, NL, GB"
14905,"GB, US"
14583,US
11975,US
4995,US
9281,US
45928,US
563,US
61337,"US, AU"
19931,"US, CN"
31535,US
10215,"GB, US"
9823,US
37165,US
45609,GB
38904,"NL, GB, US"
45565,
9407,US
4824,US
9444,US
9414,US
8078,US
29938,US
11831,US
2895,US
39177,FR
19601,GB
124606,US
42832,CA
22797,GB
2639,US
9574,US
10371,US
489,"CA, US"
167738,
293820,
9714,US
102406,
170430,
8197,US
6283,US
279698,
49728,US
64562,
4233,US
191874,"US, CA"
10217,CA
438108,US
597,US
714,"GB, US"
52537,US
12799,FR
62394,CA
9922,US
547,US
25994,"GB, US"
184,US
9746,US
9438,US
115,"GB, US"
26941,US
27103,"BE, FR"
9410,US
32302,US
216794,CA
88863,US
154821,
41417,US
12538,US
586,US
2666,"AU, US"
46338,GB
54007,US
11258,"DK, FR, NZ, GB, US"
9490,US
9411,US
25719,GB
9033,US
11220,HK
21253,BR
6116,GB
9457,"CA, US"
281289,
43911,
39424,US
44361,"DE, RU"
11702,US
2923,"GB, US"
12238,"IT, US"
11568,US
41577,JP
66894,US
11003,US
10153,US
49645,
47112,"DE, IE, JP, ES, GB"
102732,
30949,"DE, US"
2898,US
9558,"IT, GB, US"
83593,
320011,
26269,US
11808,US
6970,AU
47452,"CA, GB"
18205,MX
36943,US
21736,US
17941,US
10668,US
9313,"GB, US"
42807,US
617,US
36568,US
37272,US
5910,JP
9440,"FR, DE, JP, GB, US"
53092,"CA, US"
32911,US
44308,"GB, US"
124821,US
32456,US
93350,US
62695,
32144,US
17127,US
40688,
17133,US
19848,US
17644,US
1774,"GB, US"
30265,HK
2157,US
70581,AU
8838,US
29193,US
795,"US, DE"
16980,US
27472,US
47881,
9469,US
12488,US
98499,US
81367,US
267,"FR, ES"
16148,US
21252,GB
73135,US
9449,"GB, US"
6264,"DE, IE, GB"
90414,US
188870,US
215373,
78149,US
15513,US
31220,US
13907,US
29825,US
10622,"AU, HK"
30020,"IR, FR"
17139,"NL, BE"
34582,NO
10216,US
9771,US
24560,US
76330,US
9448,US
38618,"AU, DE, US"
18316,"FR, DE, JP, GB, US"
78373,US
77514,"UA, FR"
49474,GB
4415,US
39467,
55561,
8656,US
209345,
58680,US
35161,
35796,GB
18937,US
929,US
9452,US
1878,US
9844,US
40505,US
14342,US
9715,US
26610,NO
20064,US
40961,NZ
1965,US
312,DE
6068,US
15037,US
50043,
37636,US
17044,"GB, FR"
60951,US
21334,IR
416437,
32284,US
51955,US
37410,US
47481,FR
53765,US
10674,US
136134,GB
846,"CA, US"
12655,"GB, US, IE"
3050,US
1389,US
11020,AU
20862,"CA, US"
108548,
9464,US
95,US
944,US
35680,"US, FR"
11551,US
473,US
102304,US
544,US
10513,US
28966,US
65203,US
143,US
42861,US
33680,US
56164,US
12311,US
43277,US
43278,US
34106,US
43266,US
27367,US
17661,US
28580,US
887,US
33667,US
23383,GB
25430,US
27191,US
11426,US
654,US
15919,US
1725,US
5769,GB
874,GB
10633,US
17917,GB
3116,US
1051,US
1366,US
12102,US
16619,US
9443,GB
11050,US
606,US
746,"FR, CN, GB, IT"
380,US
403,US
11485,US
466,US
13820,US
15389,US
13597,"GB, US"
2108,US
10014,US
10072,US
10131,US
10160,US
11284,US
4488,US
9725,US
9728,US
9730,US
9731,US
10225,US
10281,US
10283,US
948,US
11281,US
10676,US
11357,US
11361,US
36599,CA
39929,CA
41828,CA
41769,CA
10585,US
11186,US
11187,"GB, US"
609,US
11133,US
10306,US
9552,US
11586,US
11587,US
941,US
942,US
943,US
927,US
928,US
9340,US
9342,US
38509,US
60033,US
12101,US
19,DE
165,US
196,US
551,US
16084,US
17984,US
22328,US
32611,US
3170,US
346,JP
859,"GB, US"
841,US
11051,"US, CA"
242,"IT, US"
1411,US
9769,"FR, US"
9424,"AU, US"
9835,US
857,US
17539,US
44322,CN
22777,US
20173,US
10957,US
9570,US
16249,US
13962,US
14612,
19378,US
65157,
29228,US
19379,US
11164,US
18887,US
40866,
24736,US
10122,US
24816,US
9994,US
25445,US
12129,US
14140,US
10439,US
11158,US
9354,US
28736,
34774,US
37969,"CA, US"
9631,"DE, US"
9820,US
14013,US
36606,US
96196,
98505,FR
1779,US
10849,US
678,US
907,"IT, US"
5961,"SE, DE, FR"
47908,US
42121,US
2887,US
11974,US
20348,US
26648,IT
11911,"AT, DE, HU"
793,US
35144,US
9325,US
43037,US
10340,US
10144,US
10414,US
10437,US
15300,US
12230,US
13380,"CA, US"
10693,US
11335,US
11135,US
11319,US
14822,
15969,US
13155,"GB, US"
10249,US
15943,US
10882,US
24808,US
19762,US
13850,US
2619,US
65158,US
53565,US
41841,US
27332,US
97,US
10419,US
11675,US
2107,US
6471,US
9442,US
11591,US
13697,US
19158,"JP, US"
227,US
87,US
123,US
9314,GB
11336,US
9980,US
10657,US
10489,US
10823,US
11497,"IE, GB, US"
2907,US
9454,US
8688,"CA, US"
118452,US
16155,US
48894,"DE, CH"
23954,"CA, FR"
12761,"FR, DE, SE"
396,US
14367,US
11814,US
16081,US
18331,US
15171,US
11837,GB
11704,US
11639,"GB, US"
4978,US
10380,US
11976,"US, GB"
15144,US
11522,US
11557,US
13853,US
11415,US
37530,US
8393,"ZA, BW"
11937,"BW, US, ZA"
21661,"CA, US"
9320,US
33644,US
14662,US
125124,
115872,"FR, IT, DE, ES"
39930,US
10692,US
805,US
34584,"DE, US"
34636,"DE, US"
2182,US
28070,US
77469,US
10278,US
36647,US
17915,US
14557,US
9417,US
41469,US
19381,"CA, IT, US"
34637,"AU, NZ"
4011,US
161795,US
1580,US
5854,US
573,GB
2370,US
5780,US
506,US
22527,US
574,US
11219,US
30159,US
845,US
1978,GB
3682,US
51942,US
46702,
54795,GB
46748,FR
847,US
117,US
14577,"CA, US"
37498,"AW, HK, US"
38621,"GB, US"
59138,
28047,US
4175,GB
31667,US
13321,US
21734,US
31997,US
24197,US
11462,US
31995,GB
940,GB
2762,GB
12684,GB
2761,GB
8208,GB
52907,GB
15007,GB
36049,GB
52748,GB
75793,GB
47695,GB
31930,GB
20213,GB
543,GB
36054,GB
143750,
52782,GB
36055,
36056,GB
2760,GB
64398,
10220,US
431,CA
31641,US
223318,
69848,"US, MX, ES"
22796,US
22256,US
37550,IT
37916,IT
21873,US
21500,US
84116,US
12626,US
37818,
3525,US
129628,
2321,US
2028,US
16384,US
91217,US
77314,
10699,US
11597,US
218624,
47947,US
48311,US
44772,US
14347,US
41090,US
18282,US
18169,US
11082,US
5971,US
11933,US
20096,US
30815,US
881,US
4478,US
22318,US
53113,US
2109,US
122289,AU
24746,US
72987,"FR, GB, US"
193103,
8195,"FR, GB, US"
9877,"CA, FR, US"
26618,"DE, US"
21132,"CA, US"
11855,US
24016,"IT, GB"
14785,"IN, GB"
14794,GB
3486,"GB, US"
11071,US
1091,US
10403,US
11337,US
162,US
25723,US
73351,US
8916,US
28134,
9429,US
12159,"NZ, US"
27791,US
43106,GB
30197,US
10156,US
10377,US
3121,US
4975,GB
37532,
9713,US
134368,
85837,US
1039,AT
9821,US
4437,US
1890,US
1955,"GB, US"
39437,US
11932,"CA, US"
6435,US
108316,
10683,US
63709,US
9445,"FR, US"
2657,US
9425,US
32326,US
637,IT
8675,"JP, US"
125762,
20701,US
9945,US
73,US
18603,US
46889,US
12888,US
3033,"GB, US"
9882,US
10663,US
4518,US
1808,GB
3600,US
17037,US
297,US
5332,"IE, GB, US"
21589,CA
8336,US
11893,"IL, US"
123056,
12223,US
32081,US
14924,GB
10002,GB
41817,US
19426,"IT, FR"
12560,US
9798,US
14444,US
9487,US
9466,US
666,BR
2042,US
10162,"FR, GB, US"
309,"DK, SE"
692,US
24018,US
1678,JP
39256,"US, JP"
1680,JP
244,US
10730,US
31947,US
8130,US
11532,GB
9749,US
14628,US
9626,"NL, US"
13698,US
10466,US
707,"FR, IS, GB, US"
11954,GB
9336,US
10157,US
12118,US
10587,US
11825,US
11895,US
9447,AU
12257,US
37536,US
10029,US
27104,"ES, IT, TR"
11252,US
8545,GB
10223,US
9745,US
200,US
9837,US
11545,US
